mentioned_dish,avg_rating,mention_count
burger,3.7479484173505275,2559
pizza,3.729740518962076,2505
salad,3.8361435365326417,2313
taco,3.9067460317460316,1512
sushi,3.878302642113691,1249
fries,3.6303030303030304,990
steak,3.8233404710920773,934
pasta,3.8276595744680852,470
burrito,3.684848484848485,330
ramen,3.832116788321168,137
